,Unnamed: 0,op_id,op_type,suc,read,write,maca,cv_dsp,"('maca', 'maca')","('maca', 'cv_dsp')","('cv_dsp', 'maca')","('cv_dsp', 'cv_dsp')"
200,200,InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0a_1x1/Relu,Relu,['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0b_3x3/Relu'],133602,3094,6285,6285,[3094],[3094],[3094],[3094]
201,201,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_3/Conv2d_0b_1x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7c/Branch_3/Conv2d_0b_1x1/Relu'],148662,3094,8302,1247502,[136696],[136696],[136696],[136696]
202,202,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0b_1x3/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0b_1x3/Relu'],125920,3094,7306,821606,[136696],[136696],[136696],[136696]
203,203,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0c_3x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0c_3x1/Relu'],125920,3094,7306,821606,[136696],[136696],[136696],[136696]
204,204,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0b_3x3/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0b_3x3/Relu'],0,3094,17533,6532990,[136696],[136696],[136696],[136696]
205,205,InceptionV3/InceptionV3/Mixed_7c/Branch_3/Conv2d_0b_1x1/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7c/concat'],133602,3094,5125,5125,[136696],[136696],[136696],[136696]
206,206,InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0b_1x3/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7c/Branch_1/concat'],133602,3094,6110,6110,[136696],[136696],[136696],[136696]
207,207,InceptionV3/InceptionV3/Mixed_7c/Branch_1/Conv2d_0c_3x1/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7c/Branch_1/concat'],133602,3094,6110,6110,[136696],[136696],[136696],[136696]
208,208,InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0b_3x3/Relu,Relu,"['TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0c_1x3/Relu', 'TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0d_3x1/Relu']",133602,3094,6110,6110,"[129014, 129014]","[129014, 129014]","[129014, 129014]","[129014, 129014]"
209,209,InceptionV3/InceptionV3/Mixed_7c/Branch_1/concat,Concat,['InceptionV3/InceptionV3/Mixed_7c/concat'],133602,3094,5562,5562,[136696],[136696],[136696],[136696]
210,210,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0c_1x3/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0c_1x3/Relu'],125920,3094,7306,821606,[136696],[136696],[136696],[136696]
211,211,TFLITE2ONNX_FAF_InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0d_3x1/Relu,Conv,['InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0d_3x1/Relu'],125920,3094,7306,821606,[136696],[136696],[136696],[136696]
212,212,InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0c_1x3/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7c/Branch_2/concat'],133602,3094,6110,6110,[136696],[136696],[136696],[136696]
213,213,InceptionV3/InceptionV3/Mixed_7c/Branch_2/Conv2d_0d_3x1/Relu,Relu,['InceptionV3/InceptionV3/Mixed_7c/Branch_2/concat'],133602,3094,6110,6110,[136696],[136696],[136696],[136696]
214,214,InceptionV3/InceptionV3/Mixed_7c/Branch_2/concat,Concat,['InceptionV3/InceptionV3/Mixed_7c/concat'],133602,3094,5562,5562,[136696],[136696],[136696],[136696]
215,215,InceptionV3/InceptionV3/Mixed_7c/concat,Concat,['InceptionV3/Logits/AvgPool_1a_8x8/AvgPool'],133602,5642,6832,6832,[139244],[139244],[139244],[139244]
216,216,InceptionV3/Logits/AvgPool_1a_8x8/AvgPool,AveragePool,['InceptionV3/Logits/Conv2d_1c_1x1/BiasAdd'],133602,3094,5174,105205,[220467],[220467],[220467],[220467]
217,217,InceptionV3/Logits/Conv2d_1c_1x1/BiasAdd,Conv,['TFLITE2ONNX_Transposed_InceptionV3/Logits/Conv2d_1c_1x1/BiasAdd'],217373,3094,10108,818059,[136696],[136696],[136696],[136696]
218,218,TFLITE2ONNX_Transposed_InceptionV3/Logits/Conv2d_1c_1x1/BiasAdd,Transpose,['InceptionV3/Logits/SpatialSqueeze'],133602,3094,-1,5401,[136696],[136696],[136696],[136696]
219,219,InceptionV3/Logits/SpatialSqueeze,Reshape,['InceptionV3/Predictions/Reshape_1'],133602,3094,-1,6994,[136696],[136696],[136696],[136696]
220,220,InceptionV3/Predictions/Reshape_1,Softmax,[],133602,3094,-1,6204,[],[],[],[]
