,op_id,op_type,suc,cpu_b,cpu_s,gpu,data_size,"('cpu_b', 'cpu_b')","('cpu_b', 'cpu_s')","('cpu_b', 'gpu')","('cpu_s', 'cpu_b')","('cpu_s', 'cpu_s')","('cpu_s', 'gpu')","('gpu', 'cpu_b')","('gpu', 'cpu_s')","('gpu', 'gpu')"
116,116,116,"[117, 118, 119]",478.713,980.9249999999998,0.0,"[1568000.0, 1568000.0, 1568000.0]","[326.6871196704542, 326.6871196704542, 326.6871196704542]","[614.5808902896317, 614.5808902896317, 614.5808902896317]","[687.5202329073176, 687.5202329073176, 687.5202329073176]","[374.99621477184144, 374.99621477184144, 374.99621477184144]","[662.8899853910191, 662.8899853910191, 662.8899853910191]","[1125.8005972080891, 1125.8005972080891, 1125.8005972080891]","[371.6621777391027, 371.6621777391027, 371.6621777391027]","[659.5559483582803, 659.5559483582803, 659.5559483582803]","[413.7203166226913, 413.7203166226913, 413.7203166226913]"
117,117,117,[122],15173.593,37458.631,22207.2393,[443904.0],[0],[173.98910428770967],[194.63838103857776],[106.16219370030579],[187.66550770090237],[318.7164466218493],[105.21832101218024],[186.72163501277683],[117.12506596306069]
118,118,118,[120],4580.291,11176.547,5487.328460000001,[1254400.0],[261.34969573636334],[491.66471223170544],[550.016186325854],[299.9969718174731],[530.3119883128152],[900.6404777664715],[297.3297421912821],[527.6447586866242],[330.97625329815304]
119,119,119,[122],473.46299999999997,1190.6760000000002,426.37018,[369920.0],[0],[144.99092023975803],[162.19865086548145],[88.46849475025482],[156.3879230840853],[265.597038851541],[87.68193417681687],[155.60136251064733],[97.6042216358839]
120,120,120,[121],12028.565,34926.028,13877.043300000001,[1254400.0],[261.34969573636334],[491.66471223170544],[550.016186325854],[299.9969718174731],[530.3119883128152],[900.6404777664715],[297.3297421912821],[527.6447586866242],[330.97625329815304]
121,121,121,[122],12378.402,28785.979,17542.4376,[443904.0],[0],[173.98910428770967],[194.63838103857776],[106.16219370030579],[187.66550770090237],[318.7164466218493],[105.21832101218024],[186.72163501277683],[117.12506596306069]
122,122,122,"[123, 124, 129]",464.546,744.965,716.57422,"[1257728.0, 1257728.0, 1257728.0]","[262.0430724801537, 262.0430724801537, 262.0430724801537]","[492.9691288151773, 492.9691288151773, 492.9691288151773]","[551.4754129426369, 551.4754129426369, 551.4754129426369]","[300.79288215086643, 300.79288215086643, 300.79288215086643]","[531.71893848589, 531.71893848589, 531.71893848589]","[903.0299320952395, 903.0299320952395, 903.0299320952395]","[298.11857620117735, 298.11857620117735, 298.11857620117735]","[529.044632536201, 529.044632536201, 529.044632536201]","[331.85435356200526, 331.85435356200526, 331.85435356200526]"
123,123,123,[127],2780.5249999999996,7115.848999999999,4130.70398,[221952.0],[0],[86.99455214385483],[97.31919051928888],[53.081096850152896],[0],[159.35822331092464],[52.60916050609012],[93.36081750638841],[0]
124,124,124,[125],1897.8090000000002,5181.166,2700.3896999999997,[147968.0],[0],[57.996368095903215],[64.87946034619259],[35.38739790010193],[0],[106.23881554061643],[35.07277367072675],[62.24054500425894],[0]
125,125,125,[126],1795.9740000000002,4783.913,1968.6353600000002,[184960.0],[0],[72.49546011987901],[81.09932543274073],[44.23424737512741],[0],[132.7985194257705],[43.84096708840843],[77.80068125532367],[0]
